feature,source,fill_%,fill_rug_%,fill_legit_%,rug_mean,legit_mean,rug_median,legit_median,cohens_d,correlation,abs_corr
gt_vol_1h,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,0.0,2852514.0806232695,0.0,2852514.08062327,20871984641969.355,-1.0,1.0
gt_price_pct_1h,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,0.0,0.36,0.0,0.36,46786480426566.93,-0.9999999999999969,0.9999999999999969
gt_vol_24h,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,178.4581979714593,139304496.73559403,344.1693818021,139304496.735594,1124191.2674308014,-0.9999999999992346,0.9999999999992346
gt_market_cap_usd,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,140934.81864857994,74575571307.80391,271802.864536547,74575571307.8039,762060.7586997801,-0.9999999999983405,0.9999999999983405
gt_base_price_usd,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,0.0002706496512476974,85.80208866394166,0.0005003183382517,85.80208866394166,499088.995644865,-0.9999999999961127,0.9999999999961127
gt_vol_6h,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,90.1546822794074,12301767.975368498,173.869744396,12301767.9753685,196511.60056998706,-0.9999999999748799,0.9999999999748799
gt_fdv_usd,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,259426.8518538706,8925783080.30786,500316.690762289,8925783080.30786,49549.88742113532,-0.9999999996048159,0.9999999996048159
gt_txns_24h_sells,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,3.111111111111111,17754.0,6.0,17754.0,8217.064861081295,-0.9999999856303057,0.9999999856303057
gt_reserve_usd,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,15374.429618518518,27831872.905600004,29650.0258,27831872.9056,2605.767443334727,-0.9999998571074794,0.9999998571074794
gt_txns_24h_buys,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,12.962962962962964,19342.0,25.0,19342.0,2147.4253197764374,-0.9999997896005395,0.9999997896005395
gp_lp_count,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,2.2916666666666665,10.0,2.0,10.0,5.90986484775015,-0.9727778502645659,0.9727778502645659
gt_pool_count,GeckoTerminal,10.43168592026405,0.20821133450452206,18.628064684402712,8.28125,20.0,1.0,20.0,1.901650355149019,-0.8056729497396508,0.8056729497396508
gp_top3_holder_pct,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,51.495416666666664,10.193991904882369,41.69,8.93,2.645845614539616,0.7063525301401526,0.7063525301401526
gp_total_tvl,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,12191.451458333331,22525753.53062231,0.6,24031135.07,6.916568233636961,-0.47225305728123773,0.47225305728123773
HAS_JSON_URI,Helius,100.0,100.0,100.0,0.746958162534973,0.3445487741262389,1.0,0.0,0.8835410659363078,0.40041188820218715,0.40041188820218715
HAS_METADATA,Helius,100.0,100.0,100.0,0.7742859001886915,1.0,1.0,1.0,0.7635360338198048,-0.3731812150837269,0.3731812150837269
MINT_AUTHORITY_ACTIVE,Helius,100.0,100.0,100.0,0.7752618908191815,1.0,1.0,1.0,0.7614037505295853,-0.3722836660015752,0.3722836660015752
HAS_AUTHORITY,Helius,100.0,100.0,100.0,0.7752618908191815,1.0,1.0,1.0,0.7614037505295853,-0.3722836660015752,0.3722836660015752
TOKEN_SUPPLY,Helius,100.0,100.0,100.0,1.516782648734724e+18,3.539265828649819e+17,9991904867535452.0,975576379651023.0,0.43171276010820564,0.2175516057480707,0.2175516057480707
gt_price_pct_24h,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,0.3038518518518519,0.24000000000000005,0.586,0.24,0.3026381971952746,0.21230176370300094,0.21230176370300094
HAS_IMAGE,Helius,100.0,100.0,100.0,0.9516559307697313,1.0,1.0,1.0,0.3187370074262461,-0.16559606298457966,0.16559606298457966
NUM_CREATORS,Helius,100.0,100.0,100.0,0.0695555989329169,0.01575378195096505,0.0,0.0,0.2684516648619018,0.13684307329271508,0.13684307329271508
CREATOR_VERIFIED,Helius,100.0,100.0,100.0,0.06519617411672848,0.014241001564945227,0.0,0.0,0.26315150878122034,0.13430117426797275,0.13430117426797275
TOKEN_DECIMALS,Helius,100.0,100.0,100.0,7.088815147374585,7.556807511737089,6.0,9.0,0.2641555219786755,-0.13168612989850598,0.13168612989850598
IS_MUTABLE,Helius,100.0,100.0,100.0,0.807209317457219,0.7250912884715701,1.0,1.0,0.19491869064845196,0.09577803284000011,0.09577803284000011
NUM_LIQUIDITY_ADDS,SolRPDS,100.0,100.0,100.0,473.9583577330991,4456.85294731351,2.0,29.0,0.15377078849865633,-0.07255176391430554,0.07255176391430554
NUM_LIQUIDITY_REMOVES,SolRPDS,100.0,100.0,100.0,169.42182315049774,1726.5310902451747,2.0,20.0,0.08032446687174599,-0.03789082376535886,0.03789082376535886
ROYALTY_PCT,Helius,100.0,100.0,100.0,5.177955624959334e-05,0.0,0.0,0.0,0.03566441190721268,0.018785109668129678,0.018785109668129678
TOTAL_ADDED_LIQUIDITY,SolRPDS,100.0,100.0,100.0,48009711943381.85,225095201520.455,743315.678665628,3065.91237,0.02242990598028857,0.011815490366623901,0.011815490366623901
TOTAL_REMOVED_LIQUIDITY,SolRPDS,100.0,100.0,100.0,492356736384616.06,75027918963.91615,5762000.0,1262.9447565075,0.018871075722649126,0.009941009865383852,0.009941009865383852
ADD_TO_REMOVE_RATIO,SolRPDS,100.0,100.0,100.0,130115.02712044287,5651.3381805594445,0.613226249,1.452346889,0.010967383749716193,0.005777088827140293,0.005777088827140293
TOKEN_PRICE_USD,Helius,47.37253539477113,0.49450191944824,84.95565988523734,17.67958782817237,123.17737117982001,0.9976953,85.366554,0.06802258943753735,-0.003278756155358345,0.003278756155358345
IS_FROZEN,Helius,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,
IS_BURNT,Helius,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,
IS_COMPRESSED,Helius,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,
FREEZE_AUTHORITY_ACTIVE,Helius,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,
gt_price_pct_5m,GeckoTerminal,10.417209531254523,0.17567831348819052,18.628064684402712,0.0,0.0,0.0,0.0,0.0,,
gp_holder_count,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,10.0,10.0,10.0,10.0,0.0,,
gp_creator_pct,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
gp_lp_holders_total,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
gp_lp_locked_count,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
gp_closable,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
gp_balance_mutable,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
gp_transfer_fee,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
gp_default_account_state,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,1.0,1.0,1.0,1.0,0.0,,
gp_non_transferable,GoPlus,11.584006485422277,0.3123170017567832,20.6207616066771,0.0,0.0,0.0,0.0,0.0,,
