LIQUIDITY_POOL_ADDRESS,MINT,SIG_INACTIVE,SIG_NO_PRICE,SIG_NO_METADATA,SIG_NO_IMAGE,SIG_MUTABLE,SIG_DRAINED,SIG_SHORT_LIFE,SIG_FEW_TXN,SIG_NO_NAME,RUG_SIGNALS,RUG_SCORE,RUG_LABEL,INACTIVITY_STATUS
5jcGFqXyB3xUrdS7LGmJ3R5a4pYaPPFs3mjFnqgwgo4x,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
4jhCSYuGkLCiB8uvCaS34QCtPycBjayxEk27YCartTuW,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
4jhCSYuGkLCiB8uvCaS34QCtPycBjayxEk27YCartTuW,MEANeD3XDdUmNMsRGjASkSWdC8prLYsoRJ61pPeHctD,0,1,0,0,1,0,0,0,0,2,0.2222222222222222,UNCERTAIN,Active
87E4KtN7F4LivKhjqXaoQAvS3a8HnM4DnMUrbMrkVvXY,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
87E4KtN7F4LivKhjqXaoQAvS3a8HnM4DnMUrbMrkVvXY,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0,0,1,0,1,0,0,0,1,3,0.3333333333333333,SUSPICIOUS,Active
45asEFwHSUHXXVDDyNz8QWuewjQbX6YdqTgB2HeMD4z3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
45asEFwHSUHXXVDDyNz8QWuewjQbX6YdqTgB2HeMD4z3,3HaDnJ2PEt7v7RE8dPaSzSCgBL5dWvWtTkGaEGs5ap3N,0,1,1,0,1,1,1,1,1,7,0.7777777777777778,VERIFIED_RUG,Active
9wb29L97MmPp7Nw8oaqiAGkXceETGNQurhySiUNLv5wh,Basis9oJw9j8cw53oMV7iqsgo6ihi9ALw4QR31rcjUJa,0,1,1,0,1,0,0,0,1,4,0.4444444444444444,SUSPICIOUS,Active
9wb29L97MmPp7Nw8oaqiAGkXceETGNQurhySiUNLv5wh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,0,0,0,1,0.1111111111111111,LIKELY_LEGIT,Active
3NwAjbY7K7qmFBvaXESGEbzCSX7WZMRZSFQzEEJiM7Qb,665t3SYTfoVtaRPP7QRbBG3V7ePVtWVKQXYkSaUfxS7u,0,1,1,0,1,1,1,0,1,6,0.6666666666666666,LIKELY_RUG,Active
3NwAjbY7K7qmFBvaXESGEbzCSX7WZMRZSFQzEEJiM7Qb,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,0,0,3,0.3333333333333333,SUSPICIOUS,Active
